latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17
0.845454348,-0.68203202,-1.227600856,1.752404483,-0.030457835,-1.706231628,-1.530948109,0.487860165,2.027352878,-0.806567672,1.821143483,0.818529294,-1.510194885,-0.712193957,-0.657797299,-1.511517063,-0.452456728,-0.264857112
1.165783935,1.373672913,0.621746228,0.926125772,-0.249758256,0.099030476,-0.375563316,1.004245261,0.091206021,-0.330382508,-1.173205086,2.310368295,-1.060169741,-1.906226194,2.84328869,3.067718996,2.243908358,0.155790467
4.516519259,-0.917093627,-3.153624754,-1.124580885,-0.555979027,-0.246118611,1.117767648,-1.149776171,0.763874713,0.307967468,-0.282132789,2.131943131,2.710384127,-2.859594023,-0.371398252,-1.470772514,-1.29272345,0.053594789
-1.55886601,0.099678932,-0.250936098,0.155826566,-1.270988004,-1.122305187,-0.582903901,-0.461798055,0.094168704,0.128450274,0.369161108,0.961080508,-1.171940811,-1.492102881,0.185440865,0.036780835,0.863862862,-0.40369392
-1.571273937,-0.165464981,-0.963193944,-0.97419786,1.033009077,-0.660902611,-1.256192996,0.32851255,1.146354982,-0.618721083,-0.119015278,-1.869457838,-1.145670061,-0.877926174,0.49599287,-0.667709985,0.659399178,0.081224584
-0.106395357,-0.324485633,0.514341906,0.270554029,1.387004471,0.088186326,-1.172028065,0.717271439,-0.363050631,-0.525293102,0.542776252,1.360549294,-0.385525525,-0.038999097,1.28064374,-1.563929314,0.528765025,-0.401152238
-0.100616968,-1.395350834,-0.360013542,-1.157098043,0.579661991,0.29102985,-0.062679335,-0.474460392,0.531725736,0.636540232,0.561121835,-1.097007626,0.243317202,0.34399701,0.588560457,-0.719288849,0.450460695,0.267303468
-0.968993868,0.41660197,-1.729244103,0.624106109,-0.492340116,0.345385788,-0.535833379,-0.467884299,0.877334396,-0.179171309,0.041378808,-0.338127437,-0.614569862,-2.714664615,0.288220727,-0.033728764,-1.187803864,0.280249906
0.454615668,0.379762453,-1.532458362,-0.582393696,0.393450766,0.463420698,-1.303909747,0.128390777,-0.212495534,1.176609805,-0.829328633,0.150530188,-0.851658251,0.418856819,-0.90904688,0.271642572,0.998599118,0.201919864
1.078062962,-0.112322266,-0.686634452,0.932491357,0.147930438,0.001376851,0.439041462,-0.368210794,1.272109411,0.255228265,0.630196382,-1.655560179,-1.096141874,-0.190255463,0.194364667,-0.815425202,-0.592571748,-1.377240435
0.262381951,2.382064553,-1.680056945,0.970543432,0.250203186,-0.740281841,-1.450788465,1.168494488,1.923645486,-1.497730931,0.074121309,0.420583758,-1.400907415,-1.50757504,2.016683851,0.544114699,3.062385069,-0.063783991
-0.377755048,-0.586761737,-0.064017569,-0.502088556,-0.518960142,-0.200320844,1.668337266,-0.47544226,0.680105467,1.244037893,1.344457689,-0.485997983,-0.732877343,0.833561018,-0.987982164,0.819670524,0.653468752,-0.319158155
-0.098346918,2.179642746,-0.845549562,-0.270169398,-1.219077951,0.664630255,-1.340958675,2.591509258,-0.789722751,-1.352059577,0.516031191,0.782929536,0.001728939,-2.322989267,-1.323417263,-0.0051279,3.065639486,0.364190222
0.74184626,-0.631263879,0.53882037,-1.195845965,0.57915953,0.467634287,1.055383207,-1.130571487,-0.213861252,1.846473908,0.707109058,-0.237990993,0.633019232,0.478554174,0.145958285,-0.631697019,-0.223291692,1.308489399
-2.500594986,0.588326989,-0.108804469,-1.118504795,-0.006096079,-1.073067608,-1.323191454,-0.029510982,0.300032628,0.715411865,1.103185484,0.056435176,0.086740853,0.422454528,-0.68743702,-0.02097811,-0.158935768,0.885043859
0.086838748,-0.525728022,1.072865208,0.84036324,0.218892114,1.025743972,-0.237078251,-0.123165914,0.865994368,1.563819482,1.97972747,-0.030437812,0.169466422,-1.790841154,-1.118725653,0.56375063,-0.566500671,-1.623782669
1.453214253,-0.682506279,0.816670666,-0.357395927,1.205588948,0.257289364,0.062607545,-0.52455572,-0.764703029,1.40612674,0.239811247,-0.023846321,0.33920865,-0.342232385,0.466736579,-0.262953223,0.485655494,2.539566685
1.234498861,0.351112471,0.875480067,0.295948205,-3.049898239,-0.059780281,0.781689801,4.471460786,0.110104675,-1.954381147,2.002721942,0.7424369,1.421410392,0.522242748,-1.455481241,-2.87683633,1.389220466,1.843006167
-2.419195234,1.594395354,-0.670175128,-0.145363008,-0.732502429,-1.391610082,0.23047356,-0.232791467,-0.408803898,-0.563402127,-0.052240354,1.895731712,-1.768135426,0.237597828,-0.532557921,-0.366008699,1.955757032,-0.263841128
0.808173931,-1.182261975,-0.726129761,-1.685792315,1.240192124,0.427492182,0.743805333,-0.118898613,0.215813885,1.161103826,0.323626393,-0.539219128,-0.744416642,-0.519285184,0.700933266,-0.377091041,0.833560935,0.235813617
